Uoplyst,,,,Aktuelle år,,Tidligere år,
,Standard,Tæller/,antal,,2018,2017,2016
,opfyldt,nævner,(%),%,95% CI,% (95% CI),% (95% CI)
Danmark,ja,4730 / 11794,49 (0),40,(39 - 41),39 (38-40),37 (36-38)
Hovedstaden,ja,1502 / 3439,49 (1),44,(42 - 45),40 (38-42),40 (39-42)
Sjælland,ja,760 / 1917,0 (0),40,(37 - 42),39 (36-41),40 (38-43)
Syddanmark,ja,942 / 2433,0 (0),39,(37 - 41),39 (37-41),35 (33-37)
Midtjylland,ja,918 / 2590,0 (0),35,(34 - 37),36 (34-38),35 (33-37)
Nordjylland,ja,577 / 1341,0 (0),43,(40 - 46),41 (39-44),35 (32-37)
Bopæl uden for Danmark,ja,31 / 74,0 (0),42,(31 - 54),51 (36-66),39 (26-53)
Hovedstaden,ja,1502 / 3439,49 (1),44,(42 - 45),40 (38-42),40 (39-42)
Albertslund,ja,17 / 52,0 (0),33,(20 - 47),30 (18-44),43 (27-59)
Allerød,ja,22 / 53,0 (0),42,(28 - 56),32 (20-46),35 (22-50)
Ballerup,ja,43 / 106,0 (0),41,(31 - 51),48 (38-58),40 (31-51)
Bornholms Regionskommune,ja,38 / 98,0 (0),39,(29 - 49),28 (19-38),32 (22-43)
Brøndby,ja,45 / 113,0 (0),40,(31 - 49),31 (22-42),34 (23-47)
Dragør,ja,18 / 43,0 (0),42,(27 - 58),47 (30-65),33 (17-54)
Egedal,ja,45 / 95,0 (0),47,(37 - 58),40 (30-52),48 (37-59)
Fredensborg,ja,36 / 99,0 (0),36,(27 - 47),37 (27-47),43 (33-53)
Frederiksberg,ja,74 / 141,13 (8),52,(44 - 61),42 (35-50),52 (44-61)
Frederikssund,ja,53 / 141,0 (0),38,(30 - 46),39 (31-48),42 (33-51)
Furesø,ja,55 / 110,0 (0),50,(40 - 60),56 (44-67),50 (38-62)
Gentofte,ja,65 / 123,1 (1),53,(44 - 62),46 (37-56),38 (30-47)
Gladsaxe,ja,68 / 129,0 (0),53,(44 - 62),48 (38-57),36 (27-44)
Glostrup,ja,38 / 72,0 (0),53,(41 - 65),40 (27-54),48 (33-63)
Gribskov,ja,46 / 129,0 (0),36,(27 - 45),35 (26-44),36 (28-46)
Halsnæs,ja,45 / 92,0 (0),49,(38 - 60),34 (25-45),34 (25-44)
Helsingør,ja,50 / 129,0 (0),39,(30 - 48),32 (24-40),38 (30-45)
Herlev,ja,25 / 50,0 (0),50,(36 - 64),52 (38-65),33 (22-46)
Hillerød,ja,47 / 121,0 (0),39,(30 - 48),39 (30-49),40 (30-50)
Hvidovre,ja,57 / 135,0 (0),42,(34 - 51),38 (29-48),47 (37-57)
Høje-Taastrup,ja,65 / 131,0 (0),50,(41 - 58),47 (37-57),34 (24-44)
Hørsholm,ja,30 / 75,0 (0),40,(29 - 52),35 (24-47),29 (17-44)
Ishøj,ja,24 / 52,0 (0),46,(32 - 61),27 (15-43),30 (16-49)
København,ja,291 / 679,35 (5),43,(39 - 47),40 (37-44),44 (40-48)
Lyngby-Tårbæk,ja,44 / 105,0 (0),42,(32 - 52),38 (29-48),39 (30-49)
Rudersdal,ja,61 / 129,0 (0),47,(38 - 56),43 (34-52),39 (30-49)
Rødovre,ja,37 / 82,0 (0),45,(34 - 57),54 (43-65),30 (20-42)
Tårnby,ja,50 / 119,0 (0),42,(33 - 51),41 (31-52),42 (32-53)
Vallensbæk,ja,13 / 36,0 (0),36,(21 - 54),29 (13-51),44 (26-62)
Sjælland,ja,760 / 1917,0 (0),40,(37 - 42),39 (36-41),40 (38-43)
Faxe,ja,40 / 89,0 (0),45,(34 - 56),36 (27-46),41 (28-56)
Greve,ja,49 / 105,0 (0),47,(37 - 57),44 (33-54),42 (31-53)
Guldborgsund,ja,71 / 160,0 (0),44,(37 - 52),32 (26-40),41 (33-49)
Holbæk,ja,53 / 146,0 (0),36,(29 - 45),43 (35-51),40 (32-49)
Kalundborg,ja,46 / 115,0 (0),40,(31 - 50),41 (31-51),31 (23-40)
Køge,ja,48 / 118,0 (0),41,(32 - 50),48 (39-57),35 (26-45)
Lejre,ja,30 / 64,0 (0),47,(34 - 60),39 (26-52),45 (32-60)
Lolland,ja,47 / 150,0 (0),31,(24 - 39),36 (28-45),34 (26-43)
Næstved,ja,67 / 191,0 (0),35,(28 - 42),37 (30-45),46 (37-56)
Odsherred,ja,40 / 82,0 (0),49,(38 - 60),33 (24-44),38 (27-50)
Ringsted,ja,28 / 60,0 (0),47,(34 - 60),42 (29-54),56 (38-73)
Roskilde,ja,82 / 200,0 (0),41,(34 - 48),41 (33-49),36 (29-43)
Slagelse,ja,67 / 165,0 (0),41,(33 - 49),38 (31-46),61 (50-71)
Solrød,ja,14 / 39,0 (0),36,(21 - 53),36 (21-53),45 (30-61)
Sorø,ja,25 / 72,0 (0),35,(24 - 47),47 (34-60),51 (35-67)
Stevns,ja,14 / 42,0 (0),33,(20 - 50),37 (24-52),34 (20-51)
Vordingborg,ja,39 / 119,0 (0),33,(24 - 42),34 (26-42),33 (24-42)
Syddanmark,ja,942 / 2433,0 (0),39,(37 - 41),39 (37-41),35 (33-37)
Aabenraa,ja,50 / 132,0 (0),38,(30 - 47),66 (51-79),28 (18-39)
Assens,ja,35 / 99,0 (0),35,(26 - 46),43 (34-53),40 (31-50)
Billund,ja,15 / 43,0 (0),35,(21 - 51),38 (25-51),23 (13-36)
Esbjerg,ja,78 / 179,0 (0),44,(36 - 51),46 (39-53),42 (36-49)
Faaborg-Midtfyn,ja,41 / 114,0 (0),36,(27 - 45),33 (25-42),38 (29-47)
Fanø,ja,3-Jun,0 (0),50,(12 - 88),83 (36-100),50 (12-88)
Fredericia,ja,44 / 113,0 (0),39,(30 - 49),35 (26-45),36 (26-46)
Haderslev,ja,43 / 130,0 (0),33,(25 - 42),57 (44-69),42 (31-54)
Kerteminde,ja,22 / 62,0 (0),35,(24 - 49),35 (23-48),38 (24-53)
Kolding,ja,67 / 159,0 (0),42,(34 - 50),39 (31-47),22 (16-30)
Langeland,nej,Aug-43,0 (0),19,(8 - 33),27 (15-42),26 (13-42)
Middelfart,ja,38 / 93,0 (0),41,(31 - 52),33 (23-44),38 (28-49)
Nordfyns,ja,26 / 78,0 (0),33,(23 - 45),32 (21-44),32 (22-43)
Nyborg,ja,26 / 73,0 (0),36,(25 - 48),35 (24-48),29 (19-42)
Odense,ja,128 / 340,0 (0),38,(32 - 43),38 (33-43),34 (29-39)
Svendborg,ja,61 / 154,0 (0),40,(32 - 48),32 (24-40),29 (22-38)
Sønderborg,ja,64 / 163,0 (0),39,(32 - 47),59 (46-71),47 (37-58)
Tønder,ja,38 / 83,0 (0),46,(35 - 57),49 (32-66),43 (30-57)
Varde,ja,38 / 89,0 (0),43,(32 - 54),39 (29-50),38 (27-48)
Vejen,ja,28 / 65,0 (0),43,(31 - 56),30 (21-41),47 (35-60)
Vejle,ja,80 / 192,0 (0),42,(35 - 49),36 (29-43),34 (27-41)
Ærø,ja,Sep-23,0 (0),39,(20 - 61),36 (13-65),29 (11-52)
Midtjylland,ja,918 / 2590,0 (0),35,(34 - 37),36 (34-38),35 (33-37)
Favrskov,ja,34 / 81,0 (0),42,(31 - 53),33 (24-43),45 (34-55)
Hedensted,ja,37 / 102,0 (0),36,(27 - 46),35 (25-45),34 (24-46)
Herning,ja,76 / 181,0 (0),42,(35 - 50),33 (26-41),41 (34-49)
Holstebro,ja,56 / 142,0 (0),39,(31 - 48),36 (28-45),34 (27-43)
Horsens,ja,51 / 156,0 (0),33,(25 - 41),36 (28-44),34 (27-42)
Ikast-Brande,ja,24 / 71,0 (0),34,(23 - 46),29 (20-40),35 (26-46)
Lemvig,ja,21 / 57,0 (0),37,(24 - 51),36 (24-50),43 (29-57)
Norddjurs,nej,28 / 108,0 (0),26,(18 - 35),39 (30-49),36 (26-46)
Odder,ja,14 / 33,0 (0),42,(25 - 61),29 (17-43),33 (19-49)
Randers,ja,92 / 232,0 (0),40,(33 - 46),40 (34-48),31 (24-38)
Ringkøbing-Skjern,ja,59 / 148,0 (0),40,(32 - 48),40 (31-49),29 (21-37)
Samsø,nej,Apr-14,0 (0),29,(8 - 58),38 (14-68),23 (5-54)
Silkeborg,ja,64 / 182,0 (0),35,(28 - 43),36 (28-43),37 (30-44)
Skanderborg,ja,37 / 104,0 (0),36,(26 - 46),38 (28-48),37 (27-48)
Skive,nej,31 / 116,0 (0),27,(19 - 36),31 (23-41),25 (17-34)
Struer,ja,28 / 76,0 (0),37,(26 - 49),41 (28-54),34 (23-46)
Syddjurs,ja,32 / 103,0 (0),31,(22 - 41),37 (27-48),36 (27-46)
Viborg,ja,63 / 192,0 (0),33,(26 - 40),30 (23-37),36 (28-44)
Århus,ja,167 / 492,0 (0),34,(30 - 38),37 (33-41),35 (31-39)
Nordjylland,ja,577 / 1341,0 (0),43,(40 - 46),41 (39-44),35 (32-37)
Aalborg,ja,182 / 421,0 (0),43,(38 - 48),45 (40-50),36 (31-41)
Brønderslev,ja,41 / 88,0 (0),47,(36 - 58),38 (28-49),34 (24-45)
Frederikshavn,ja,66 / 155,0 (0),43,(35 - 51),37 (30-46),37 (30-45)
Hjørring,ja,68 / 168,0 (0),40,(33 - 48),44 (36-52),32 (25-40)
Jammerbugt,ja,34 / 91,0 (0),37,(27 - 48),41 (31-52),35 (25-45)
Læsø,ja,4-May,0 (0),80,(28 - 99),0 (0-46),38 (9-76)
Mariagerfjord,ja,49 / 96,0 (0),51,(41 - 61),38 (29-47),34 (26-44)
Morsø,ja,23 / 55,0 (0),42,(29 - 56),33 (21-47),33 (20-48)
Rebild,ja,30 / 79,0 (0),38,(27 - 50),53 (40-65),40 (28-53)
Thisted,ja,34 / 78,0 (0),44,(32 - 55),32 (23-41),28 (20-38)
Vesthimmerlands,ja,46 / 105,0 (0),44,(34 - 54),41 (31-50),32 (23-42)
